,link,Last LPSN update,Domain,Phylum,Class,Order,Family,Genus,Species,Ref 1,Ref 2,Ref 3,Ref 4,Ref 5,Ref 6,Ref 7,Ref 8,Ref 9,Ref 10
1045,https://bacdive.dsmz.de/strain/144143,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,Aquabacterium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1046,https://bacdive.dsmz.de/strain/144144,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,Aquabacterium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1051,https://bacdive.dsmz.de/strain/10437,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Aquaspirillum,Aquaspirillum arcticum,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1210,https://bacdive.dsmz.de/strain/18158,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1211,https://bacdive.dsmz.de/strain/18159,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1212,https://bacdive.dsmz.de/strain/18160,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1213,https://bacdive.dsmz.de/strain/18161,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1214,https://bacdive.dsmz.de/strain/18254,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1215,https://bacdive.dsmz.de/strain/18259,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1216,https://bacdive.dsmz.de/strain/18260,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1217,https://bacdive.dsmz.de/strain/18265,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1218,https://bacdive.dsmz.de/strain/18267,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1219,https://bacdive.dsmz.de/strain/18268,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1220,https://bacdive.dsmz.de/strain/18269,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1221,https://bacdive.dsmz.de/strain/18270,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1222,https://bacdive.dsmz.de/strain/18273,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1223,https://bacdive.dsmz.de/strain/18274,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1224,https://bacdive.dsmz.de/strain/18275,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1225,https://bacdive.dsmz.de/strain/18278,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1226,https://bacdive.dsmz.de/strain/18281,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1227,https://bacdive.dsmz.de/strain/18283,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1228,https://bacdive.dsmz.de/strain/18284,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1229,https://bacdive.dsmz.de/strain/18285,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1230,https://bacdive.dsmz.de/strain/18286,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1231,https://bacdive.dsmz.de/strain/18287,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1232,https://bacdive.dsmz.de/strain/18288,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1233,https://bacdive.dsmz.de/strain/18291,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1234,https://bacdive.dsmz.de/strain/18292,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1235,https://bacdive.dsmz.de/strain/18293,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1236,https://bacdive.dsmz.de/strain/18297,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1237,https://bacdive.dsmz.de/strain/18298,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1238,https://bacdive.dsmz.de/strain/18299,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1239,https://bacdive.dsmz.de/strain/18305,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1240,https://bacdive.dsmz.de/strain/18307,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1241,https://bacdive.dsmz.de/strain/18317,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1242,https://bacdive.dsmz.de/strain/18318,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1243,https://bacdive.dsmz.de/strain/18323,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1244,https://bacdive.dsmz.de/strain/18324,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1245,https://bacdive.dsmz.de/strain/18325,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1246,https://bacdive.dsmz.de/strain/18329,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1247,https://bacdive.dsmz.de/strain/18400,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1248,https://bacdive.dsmz.de/strain/18424,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1249,https://bacdive.dsmz.de/strain/18436,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1250,https://bacdive.dsmz.de/strain/18493,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1251,https://bacdive.dsmz.de/strain/18512,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1252,https://bacdive.dsmz.de/strain/18526,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1253,https://bacdive.dsmz.de/strain/18528,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1254,https://bacdive.dsmz.de/strain/18530,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1255,https://bacdive.dsmz.de/strain/18532,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1256,https://bacdive.dsmz.de/strain/18533,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1257,https://bacdive.dsmz.de/strain/18535,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1258,https://bacdive.dsmz.de/strain/18537,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1259,https://bacdive.dsmz.de/strain/18538,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1260,https://bacdive.dsmz.de/strain/18559,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1261,https://bacdive.dsmz.de/strain/18589,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1262,https://bacdive.dsmz.de/strain/18680,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1263,https://bacdive.dsmz.de/strain/18684,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1264,https://bacdive.dsmz.de/strain/18687,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1265,https://bacdive.dsmz.de/strain/18699,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1266,https://bacdive.dsmz.de/strain/18746,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1267,https://bacdive.dsmz.de/strain/18747,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1268,https://bacdive.dsmz.de/strain/18775,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1269,https://bacdive.dsmz.de/strain/18777,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1270,https://bacdive.dsmz.de/strain/18778,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1271,https://bacdive.dsmz.de/strain/18779,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1272,https://bacdive.dsmz.de/strain/18781,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1273,https://bacdive.dsmz.de/strain/18783,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1274,https://bacdive.dsmz.de/strain/18785,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1275,https://bacdive.dsmz.de/strain/18787,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1276,https://bacdive.dsmz.de/strain/18788,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1277,https://bacdive.dsmz.de/strain/18929,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1278,https://bacdive.dsmz.de/strain/18943,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1279,https://bacdive.dsmz.de/strain/19000,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1280,https://bacdive.dsmz.de/strain/19006,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1281,https://bacdive.dsmz.de/strain/19069,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
1282,https://bacdive.dsmz.de/strain/19102,23-11-2020 (DD-MM-YYYY),Bacteria,Proteobacteria,Deltaproteobacteria,Myxococcales,Archangiaceae,Archangium,Archangium sp.,#no,#no,#no,#no,#no,#no,#no,#no,#no,#no
