,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
https://bacdive.dsmz.de/strain/5407,A.paludosum 16S rRNA gene,X96958, ENA,52693 tax ID,Acetobacterium paludosum DSM 8237,GCA_008086595,contig, GenBank,52693 tax ID,Acetobacterium paludosum strain DSM 8237,52693.4,wgs, PATRIC,52693 tax ID,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/5403,"Acetobacterium woodii strain DSM 2396 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",DQ834685, ENA,33952 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/5411,Acetobacterium aff. tundrae DSM 9173 partial 16S rRNA gene,AJ297449, ENA,132932 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/5402,"Acetobacterium woodii strain DSM 1030 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",DQ834681, ENA,931626 tax ID,A.woodii 16S rRNA gene,X96954, ENA,931626 tax ID,Acetobacterium woodii DSM 1030,GCA_000247605,complete, GenBank,931626 tax ID,Acetobacterium woodii DSM 1030,931626.3,complete, PATRIC,931626 tax ID,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/131580,"Acetobacteroides hydrogenigenes gene for 16S rRNA, partial sequence",AB611036, ENA,979970 tax ID,Acetobacteroides hydrogenigenes RL-C,GCA_004340205,scaffold, GenBank,979970 tax ID,Acetobacteroides hydrogenigenes strain RL-C,979970.3,wgs, PATRIC,979970 tax ID,Acetobacteroides hydrogenigenes DSM 24657,2731639222,permanent, JGI IMG/M,979970 tax ID,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/5978,"Acetohalobium arabaticum 16S ribosomal RNA gene, complete sequence",L37422, ENA,574087 tax ID,H.arabaticum gene for 16S ribosomal RNA,X89077, ENA,574087 tax ID,Acetohalobium arabaticum DSM 5501,GCA_000144695,complete, GenBank,574087 tax ID,Acetohalobium arabaticum DSM 5501,574087.3,complete, PATRIC,574087 tax ID,"Acetohalobium arabaticum Z-7288, DSM 5501",,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/17777,"Anaerobaculum mobile gene for 16S ribosomal RNA, partial sequence",AB910748, ENA,97477 tax ID,"Anaerobaculum mobile 16S rRNA gene, type strain NGA",AJ243189, ENA,891968 tax ID,Acetomicrobium mobile DSM 13181,GCA_000266925,complete, GenBank,891968 tax ID,Anaerobaculum mobile DSM 13181,891968.3,complete, PATRIC,891968 tax ID,Acetomicrobium mobile DSM 13181,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/156535,Achromobacter anxifer LMG 26858,GCA_902860145,contig, GenBank,1287737 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/318,"A.xylosoxidans 16S ribosomal RNA, complete cds",M22509, ENA,85698 tax ID,"Achromobacter denitrificans strain CCUG 407 16S ribosomal RNA gene, partial sequence",JQ746422, ENA,32002 tax ID,"Achromobacter xylosoxidans subsp. denitrificans partial 16S rRNA gene, strain DSM 30026 (T)",AJ278451, ENA,32002 tax ID,Alcaligenes denitrificans 16S rRNA gene,Y14907, ENA,32002 tax ID,"Achromobacter denitrificans gene for 16S rRNA, partial sequence, strain: NBRC 15125",AB680772, ENA,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/140507,"Achromobacter kerstersii partial 16S rRNA gene, strain LMG 3441",HG324052, GenBank,1353890 tax ID,Achromobacter kerstersii LMG 3441,GCA_902859595,contig, GenBank,1353890 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/140854,Achromobacter marplatensis CECT 7342,GCA_003315095,scaffold, GenBank,470868 tax ID,Achromobacter marplatensis LMG 26219,GCA_902859635,contig, GenBank,470868 tax ID,Achromobacter marplatensis strain CECT 7342,470868.5,wgs, PATRIC,470868 tax ID,Achromobacter marplatensis CECT 7342,2770939588,permanent, JGI IMG/M,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/309,"Achromobacter ruhlandii gene for 16S rRNA, partial sequence",AB010840, ENA,72557 tax ID,"Achromobacter ruhlandii strain CCUG 38886 16S ribosomal RNA gene, partial sequence",JQ746426, ENA,72557 tax ID,Achromobacter ruhlandii SCCH3:ACH 33-1365,GCA_002082135,chromosome, GenBank,72557 tax ID,Achromobacter ruhlandii LMG 1866,GCA_902859695,contig, GenBank,72557 tax ID,Achromobacter ruhlandii Ar38,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/315,"Achromobacter sp. TA12-A 16S ribosomal RNA gene, partial sequence",HM219615, ENA,871572 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/22903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/23815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/143153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/130853,"Achromobacter xylosoxidans strain JP-22 16S ribosomal RNA gene, partial sequence",KC771236, ENA,85698 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/156471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/17960,"Acidaminobacter hydrogenoformans 16S ribosomal RNA gene, complete sequence",AF016691, ENA,65403 tax ID,Acidaminobacter hydrogenoformans DSM 2784,GCA_900103005,scaffold, GenBank,1120920 tax ID,Acidaminobacter hydrogenoformans DSM 2784,1120920.3,wgs, PATRIC,1120920 tax ID,Acidaminobacter hydrogenoformans DSM 2784,2599185234,permanent, JGI IMG/M,1120920 tax ID,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/16643,D.ambivalens DNA for 16S ribosomal RNA gene,X90484, ENA,2283 tax ID,"Acidianus ambivalens 16S rRNA gene, almost full-length sequence",D85506, ENA,2283 tax ID,Acidianus ambivalens LEI 10,GCA_009729015,complete, GenBank,2283 tax ID,Acidianus ambivalens DSM 3772,GCA_009428885,contig, GenBank,2283 tax ID,Acidianus ambivalens strain DSM 3772,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/16640,A.brierleyi DNA for 16S ribosomal RNA gene,X90477, ENA,41673 tax ID,Acidianus brierleyi 16S rRNA gene complete sequence and 23S rRNA gene 5' region,D26489, ENA,41673 tax ID,Acidianus brierleyi DSM 1651,GCA_003201835,complete, GenBank,41673 tax ID,Acidianus brierleyi strain DSM 1651,41673.4,complete, PATRIC,41673 tax ID,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/16641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/16642,A.infernus DNA for 16S ribosomal RNA,X89852, ENA,12915 tax ID,"Acidianus infernus 16S rRNA gene, almost full-length sequence",D85505, ENA,12915 tax ID,Acidianus infernus DSM 3191,GCA_009729545,contig, GenBank,12915 tax ID,Acidianus infernus strain DSM 3191,12915.4,wgs, PATRIC,12915 tax ID,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/130738,"Candidatus Acidianus copahuensis strain ALE1 16S ribosomal RNA gene, partial sequence",JQ513288, ENA,1160895 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/131324,"Acidianus sp. RZ1 16S ribosomal RNA gene, partial sequence",KJ921703, ENA,1540082 tax ID,Acidianus sp. DSM 29099,GCA_013133895,contig, GenBank,2732866 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/16644,"Acidianus sulfidivorans JP7 16S ribosomal RNA gene, partial sequence",AY907891, ENA,619593 tax ID,Acidianus sulfidivorans JP7,619593.4,complete, PATRIC,619593 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/132568,"Acidibacter ferrireducens strain MCF85 16S ribosomal RNA gene, partial sequence",JX412366, ENA,1229656 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/79,"Acidicaldus organivorans strain Y008 16S ribosomal RNA gene, partial sequence",AY140238, ENA,209650 tax ID,Acidicaldus organivorans DX-1,GCA_000759655,scaffold, GenBank,209650 tax ID,Acidicaldus organivorans DX-1,209650.4,wgs, PATRIC,209650 tax ID,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/133054,"Acidicapsa acidiphila strain MCF10 16S ribosomal RNA gene, partial sequence",KF017280, ENA,1335627 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/133383,"Acidicapsa acidisoli gene for 16S ribosomal RNA, partial sequence",LC027464, ENA,1615681 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/142,"Acidicapsa borealis partial 16S rRNA gene, type strain DSM 23886T",FR774763, ENA,946336 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/133053,"Acidicapsa ferrireducens strain MCF9 16S ribosomal RNA gene, partial sequence",KC662255, ENA,1335629 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/158294,"Acidiferrobacter sp. SPIII_3 16S ribosomal RNA gene, partial sequence",KC128649, ENA,1281578 tax ID,Acidiferrobacter sp. SPIII_3,1281578.45,complete, PATRIC,1281578 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/4303,"Acidiferrobacter thiooxydans partial 16S rRNA gene, type strain DSM 2392T",AJ459800, ENA,163359 tax ID,Thiobacillus ferrooxidans (DSM 2392) 16S rRNA sequence,M79416, ENA,920 tax ID,Thiobacillus ferrooxidans (DSM 2392) 16S rRNA sequence,M79417, ENA,920 tax ID,"Acidiferrobacter thiooxydans strain m-1 16S ribosomal RNA gene, partial sequence",AF387301, ENA,163359 tax ID,Acidiferrobacter thiooxydans m-1,GCA_003333315,contig,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/6149,"Thiobacillus prosperus strain V6 16S ribosomal RNA gene, partial sequence",EU653290, ENA,160660 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/24820,"Acidihalobacter ferrooxidans strain DSM 14175 16S ribosomal RNA gene, partial sequence",KU213664, ENA,1765967 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/6148,"Thiobacillus prosperus 16S ribosomal RNA gene, partial sequence",AY034139, ENA,160660 tax ID,"Thiobacillus prosperus strain DSM 5130 16S ribosomal RNA gene, partial sequence",EU653291, ENA,160660 tax ID,Acidihalobacter prosperus F5,GCA_001753245,complete, GenBank,160660 tax ID,Acidihalobacter prosperus V6,GCA_001753165,chromosome, GenBank,160660 tax ID,Acidihalobacter prosperus DSM 5130,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/17799,"Acidolobus aceticus 16S ribosomal RNA gene, partial sequence",AF191225, ENA,105851 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/17800,"Acidilobus saccharovorans strain 345-15 16S ribosomal RNA gene, partial sequence",AY350586, ENA,666510 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/106,"Acidimicrobium ferrooxidans DSM 10331 16S ribosomal RNA gene, partial sequence",U75647, ENA,525909 tax ID,Acidimicrobium ferrooxidans DSM 10331,GCA_000023265,complete, GenBank,525909 tax ID,Acidimicrobium ferrooxidans DSM 10331,525909.11,complete, PATRIC,525909 tax ID,"Acidimicrobium ferrooxidans ICP, DSM 10331",644736322,complete, JGI IMG/M,525909 tax ID,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/26,Acidiphilium cryptum 16S rRNA sequence,M79366, ENA,524 tax ID,Acidiphilium cryptum 16S rRNA sequence,M79367, ENA,524 tax ID,Acidiphilium cryptum 16S rRNA sequence,M79368, ENA,524 tax ID,"Acidiphilium cryptum 16S rRNA gene, partial, strain DSM 2389",Y18445, ENA,524 tax ID,Acidiphilium cryptum gene for 16S ribosomal RNA,D30773, ENA,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/31,"Acidiphilium multivorum strain AIU301 16S ribosomal RNA, complete sequence",NR_074327, GenBank,62140 tax ID,Acidiphilium multivorum strain JCM8867,62140.4,plasmid, PATRIC,62140 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/131572,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/132354,"Acidipila dinghuensis 16S ribosomal RNA gene, partial sequence",KM083127, ENA,1560006 tax ID,Acidipila dinghuensis DHOF10,GCA_004123295,contig, GenBank,1560006 tax ID,Acidipila dinghuensis strain DHOF10,1560006.3,wgs, PATRIC,1560006 tax ID,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/132249,"Acidopila rosea gene for 16S rRNA, partial sequence",AB561884, ENA,768535 tax ID,Acidipila rosea DSM 103428,GCA_004339725,scaffold, GenBank,768535 tax ID,Acidipila rosea strain DSM 103428,768535.4,wgs, PATRIC,768535 tax ID,Acidipila rosea DSM 103428,2757320406,permanent, JGI IMG/M,768535 tax ID,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/5459,"Acidiplasma aeolicum partial 16S rRNA gene, type strain DSM 18409T",AM943980, ENA,507754 tax ID,Acidiplasma aeolicum VT,GCA_001402945,contig, GenBank,507754 tax ID,Acidiplasma aeolicum V,GCA_001399695,contig, GenBank,507754 tax ID,Acidiplasma aeolicum strain V,507754.4,wgs, PATRIC,507754 tax ID,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/5460,"Ferroplasma cupricumulans strain BH2 16S ribosomal RNA gene, partial sequence",AY907888, ENA,312540 tax ID,Acidiplasma cupricumulans BH2,GCA_001402935,contig, GenBank,312540 tax ID,Acidiplasma cupricumulans JCM 13668,GCA_001316225,contig, GenBank,1295373 tax ID,Acidiplasma cupricumulans JCM 13668,1295373.3,wgs, PATRIC,1295373 tax ID,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/130545,"Propionibacterium damnosum strain IGBL13 16S ribosomal RNA gene, partial sequence",JQ283461, ENA,1243001 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/130544,"Propionibacterium olivae strain IGBL1 16S ribosomal RNA gene, partial sequence",JQ283460, ENA,1243000 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/81,"Acidisoma tundrae partial 16S rRNA gene, type strain WM1",AM947652, ENA,512382 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/67,Acidisphaera rubrifaciens rrn gene for 16S rRNA,D86512, ENA,50715 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/17890,"Aciditerrimonas ferrireducens gene for 16S rRNA, partial sequence",AB517669, ENA,1294026 tax ID,Aciditerrimonas ferrireducens JCM 15389,GCA_001311945,contig, GenBank,1294026 tax ID,Aciditerrimonas ferrireducens JCM 15389,1294026.5,wgs, PATRIC,1294026 tax ID,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/128,"Acidithiobacillus albertensis culture-collection DSM:14366 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, tRNA-Ile and tRNA-Ala genes, complete sequence; and 23S ribosomal RNA gene, partial sequence",KF537578, ENA,119978 tax ID,"Acidithiobacillus albertensis 16S rRNA gene, strain DSM 14366",AJ459804, ENA,119978 tax ID,Acidithiobacillus albertensis DSM 14366,GCA_001931655,scaffold, GenBank,119978 tax ID,Acidithiobacillus albertensis strain DSM 14366,119978.4,wgs, PATRIC,119978 tax ID,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/130138,"Acidithiobacillus ferrooxidans partial 16S rRNA gene, strain ATCC33020",FN686779, GenBank,1232575 tax ID,"Acidithiobacillus ferrooxidans 16S partial 16S rRNA gene, strain ATCC33020",AJ278719, ENA,1232575 tax ID,Acidithiobacillus ferridurans JCM 18981,GCA_003966655,complete, GenBank,1232575 tax ID,Acidithiobacillus ferridurans strain ATCC 33020,1232575.4,plasmid, PATRIC,1232575 tax ID,Acidithiobacillus ferridurans strain JCM 18981,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/132357,"Acidithiobacillus ferriphilus strain M20 16S ribosomal RNA gene, partial sequence",KR905751, ENA,1689834 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/119,"Acidithiobacillus ferrivorans SS3 strain SS3 16S ribosomal RNA, complete sequence",NR_074660, GenBank,743299 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/129,"Acidithiobacillus ferrivorans strain NO-37 16S ribosomal RNA gene, partial sequence",AF376020, ENA,160808 tax ID,Acidithiobacillus ferrivorans PRJEB5721,GCA_900174455,chromosome, GenBank,160808 tax ID,Acidithiobacillus ferrivorans CF27,GCA_000750615,contig, GenBank,160808 tax ID,Acidithiobacillus ferrivorans PQ33,GCA_001857665,contig, GenBank,160808 tax ID,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/116,"Acidithiobacillus ferrooxidans 16S rRNA gene, strain DSM9465",Y11595, ENA,920 tax ID,Acidithiobacillus ferrooxidans (N-Fe4) partial 16S ribosomal RNA gene,X75267, ENA,920 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/120,"Acidithiobacillus ferrooxidans strain SP5-1 16S ribosomal RNA gene, partial sequence",HM070044, ENA,920 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/130137,"Acidithiobacillus ferrooxidans partial 16S rRNA gene, strain R1",FN686787, ENA,1689834 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/122,"Acidithiobacillus thiooxidans 16S rRNA gene (partial) and 16S-23S rRNA IGS, strain DSM 622",AM296495, ENA,930 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/125,"Acidithiobacillus thiooxidans gene, 16S-23S rDNA region, strain: JCM 3867",AB189141, ENA,930 tax ID,"Acidithiobacillus thiooxidans strain ATCC 19377 16S ribosomal RNA gene, partial sequence; intergenic spacer, tRNA-Ile (trnI) and tRNA-Ala (trnA) genes, complete sequence; and 23S ribosomal RNA gene, partial sequence",AF512812, ENA,637390 tax ID,"Acidithiobacillus thiooxidans 16S rRNA gene, strain ATCC 19377",AJ459803, ENA,637390 tax ID,"Acidithiobacillus thiooxidans strain ATCC 19377 16S ribosomal RNA gene, partial sequence",AY552087, ENA,637390 tax ID,"Acidithiobacillus thiooxidans strain ATCC 19377 16S ribosomal RNA gene, partial sequence; 16S-23S ribosomal RNA intergenic spacer, complete sequence; and 23S ribosomal RNA gene, partial sequence",EF059790, ENA,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/132685,"Acidithiobacillus thiooxidans strain CL 16S ribosomal RNA gene, partial sequence",KX100033, ENA,930 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/133033,"Acidobacterium ailaaui strain PMMR2 16S ribosomal RNA gene, partial sequence",KX306477, ENA,1382359 tax ID,Acidobacterium ailaaui PMMR2,GCA_000688455,contig, GenBank,1382359 tax ID,Acidobacterium sp. PMMR2,1382359.3,wgs, PATRIC,1382359 tax ID,Acidobacterium ailaaui PMMR2,2558860986,permanent, JGI IMG/M,1382359 tax ID,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/131,"Acidobacterium capsulatum gene for 16S rRNA, partial sequence",D26171, ENA,33075 tax ID,Acidobacterium capsulatum ATCC 51196,GCA_000022565,complete, GenBank,240015 tax ID,Acidobacterium capsulatum SpSt-855,GCA_011333575,contig, GenBank,33075 tax ID,Acidobacterium capsulatum ATCC 51196,240015.3,complete, PATRIC,240015 tax ID,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/23514,"Acidobacterium sp. Ellin408 16S ribosomal RNA gene, partial sequence",AF432237, ENA,191847 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/23515,"Bacterium Ellin337 16S ribosomal RNA gene, partial sequence",AF498719, ENA,204667 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://bacdive.dsmz.de/strain/23516,"Acidobacteria bacterium Ellin5413 16S ribosomal RNA gene, partial sequence",AY673140, ENA,305073 tax ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
